"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom"
"ProductItem","1","Horses","","Neogen Ideal DHoof Rot Shears","26443819","27.7","","","","ProMax Commerce","Horse Supplies","true",""
"ProductItem","1","Horses","","Neogen Ideal DHoof Rot Shears","26443819","29.9","","","","Santa Cruz Animal Health","Horse Supplies","true",""
"ProductItem","1","Horses","44.97","Neogen Ideal DHoof Rot Shears","26443819","34.49","","","","UnbeatableSale","Horse Supplies","true",""
"ProductItem","1","Dogs","","DURAFEND DEWORMER FEED","26443852","15.03","","","","ProMax Commerce","Dog Flea & Tick Supplies","true",""
"ProductItem","1","Dogs","","DURAFEND DEWORMER FEED","26443852","7.73","","","","Ablackhorse","Dog Flea & Tick Supplies","true",""
"ProductItem","1","Dogs","","DURAFEND DEWORMER FEED","26443852","21.86","","","","VirVentures","Dog Flea & Tick Supplies","true",""
"ProductItem","1","Horses","","Durvet Inc DGoat Care 2x Dewormer 3 Pound","26443857","19.42","3.0","","","Piccard meds 4 pets Corp","Horse Health Care","true","lb"
"ProductItem","1","Horses","","Durvet Inc DGoat Care 2x Dewormer 3 Pound","26443857","22.65","3.0","","","ProMax Commerce","Horse Health Care","true","lb"
"ProductItem","1","Horses","","Durvet Inc DGoat Care 2x Dewormer 3 Pound","26443857","14.44","3.0","","","FAUCETS COMPLETE","Horse Health Care","true","lb"
"ProductItem","1","Horses","","Durvet Inc 13840175 Flyrid Ointment 6Oz","26443887","12.97","","","","Piccard meds 4 pets Corp","Fly Repellents","true",""
"ProductItem","1","Horses","","Durvet Inc 13840175 Flyrid Ointment 6Oz","26443887","14.75","","","","ProMax Commerce","Fly Repellents","true",""
"ProductItem","1","Horses","","Durvet Inc 13840175 Flyrid Ointment 6Oz","26443887","8.54","","","","FAUCETS COMPLETE","Fly Repellents","true",""
"ProductItem","1","Horses","","Durvet Inc 13840175 Flyrid Ointment 6Oz","26443887","16.94","","","","Healthypets","Fly Repellents","true",""
"ProductItem","1","Horses","22.4","Durvet Inc 13840175 Flyrid Ointment 6Oz","26443887","17.13","","","","UnbeatableSale","Fly Repellents","true",""
"ProductItem","1","Dogs","9.99","Bark Stop Control Outdoor Indoor Ultrasonic Dog Pet Anti Barking Training Device Collar Bark TrainerBark Stop","264517482","6.45","","","","Hilitand","Dog Training & Obedience","true",""
"ProductItem","1","Dogs","","Hagen Dogit High Pitch Silent Dog Whistle Silent Dog Whistle Pack of 3","264609760","23.99","3.0","","","Palatial Products","Dog Training & Obedience","true","pk"
"ProductItem","1","Dogs","","Clifford the Big Red Dog Adult Costume","264624801","66.98","","","","HalloweenCostumes","Dog Apparel","true",""
